cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch:  0 Batch:   1 Loss: ['3.3617', '1.6796', '0.6380'] Accuracy Train: ['9.0%', '11.0%', '9.5%']%
Epoch:  0 Batch:  11 Loss: ['2.3006', '1.2088', '0.5216'] Accuracy Train: ['31.7%', '28.1%', '19.5%']%
Epoch:  0 Batch:  21 Loss: ['2.0418', '1.0542', '0.4719'] Accuracy Train: ['37.9%', '33.7%', '24.6%']%
Epoch:  0 Batch:  31 Loss: ['1.9040', '0.9719', '0.4422'] Accuracy Train: ['41.7%', '37.5%', '28.3%']%
Epoch:  0 Batch:  41 Loss: ['1.8164', '0.9374', '0.4276'] Accuracy Train: ['44.4%', '40.7%', '31.1%']%
Epoch:  0 Batch:  51 Loss: ['1.5915', '0.8238', '0.3975'] Accuracy Train: ['47.0%', '43.4%', '33.8%']%
Epoch:  0 Batch:  61 Loss: ['1.6356', '0.8210', '0.3802'] Accuracy Train: ['48.8%', '45.5%', '35.9%']%
Epoch:  0 Batch:  71 Loss: ['1.5036', '0.7458', '0.3483'] Accuracy Train: ['50.5%', '47.2%', '37.9%']%
Epoch:  0 Batch:  81 Loss: ['1.5217', '0.7430', '0.3484'] Accuracy Train: ['52.0%', '49.0%', '39.9%']%

Tests: 10000 | Loss: ['1.48', '1.43', '1.74'] | Accuracy Test: ['62.98%', '63.06%', '53.60%'] | Times: [['7.38ms', '11.45ms'], ['8.87ms', '5.78ms'], ['8.51ms', '5.33ms']] | CNFs: ['0.59', '0.61', '0.53']

Epoch:  1 Batch:   1 Loss: ['1.4358', '0.7183', '0.3426'] Accuracy Train: ['65.0%', '61.8%', '51.8%']%
Epoch:  1 Batch:  11 Loss: ['1.3742', '0.6590', '0.3016'] Accuracy Train: ['65.8%', '64.8%', '56.5%']%
Epoch:  1 Batch:  21 Loss: ['1.3094', '0.6230', '0.3062'] Accuracy Train: ['66.2%', '66.0%', '57.1%']%
Epoch:  1 Batch:  31 Loss: ['1.2198', '0.5943', '0.2833'] Accuracy Train: ['66.6%', '66.8%', '58.1%']%
Epoch:  1 Batch:  41 Loss: ['1.2561', '0.5844', '0.2902'] Accuracy Train: ['66.7%', '67.4%', '59.1%']%
Epoch:  1 Batch:  51 Loss: ['1.2706', '0.6039', '0.2956'] Accuracy Train: ['66.9%', '67.9%', '59.6%']%
Epoch:  1 Batch:  61 Loss: ['1.2092', '0.5611', '0.2561'] Accuracy Train: ['67.1%', '68.2%', '60.5%']%
Epoch:  1 Batch:  71 Loss: ['1.2211', '0.5667', '0.2735'] Accuracy Train: ['67.5%', '68.6%', '61.2%']%
Epoch:  1 Batch:  81 Loss: ['1.1303', '0.4934', '0.2427'] Accuracy Train: ['68.0%', '69.2%', '61.9%']%

Tests: 10000 | Loss: ['1.21', '1.03', '1.27'] | Accuracy Test: ['69.92%', '73.98%', '66.95%'] | Times: [['6.89ms', '10.90ms'], ['8.50ms', '5.63ms'], ['8.25ms', '5.15ms']] | CNFs: ['0.67', '0.72', '0.67']

Epoch:  2 Batch:   1 Loss: ['1.1870', '0.5047', '0.2560'] Accuracy Train: ['70.0%', '73.2%', '66.5%']%
Epoch:  2 Batch:  11 Loss: ['1.0958', '0.5088', '0.2442'] Accuracy Train: ['71.6%', '73.0%', '65.8%']%
Epoch:  2 Batch:  21 Loss: ['0.9961', '0.4514', '0.2207'] Accuracy Train: ['73.2%', '74.6%', '67.3%']%
Epoch:  2 Batch:  31 Loss: ['1.0440', '0.4861', '0.2368'] Accuracy Train: ['73.4%', '75.1%', '68.1%']%
Epoch:  2 Batch:  41 Loss: ['1.0419', '0.4617', '0.2242'] Accuracy Train: ['73.9%', '75.6%', '68.7%']%
Epoch:  2 Batch:  51 Loss: ['1.0812', '0.4459', '0.2256'] Accuracy Train: ['74.0%', '75.9%', '69.4%']%
Epoch:  2 Batch:  61 Loss: ['0.9741', '0.4139', '0.2072'] Accuracy Train: ['74.2%', '76.1%', '69.8%']%
Epoch:  2 Batch:  71 Loss: ['0.9317', '0.4094', '0.1976'] Accuracy Train: ['74.2%', '76.4%', '70.1%']%
Epoch:  2 Batch:  81 Loss: ['1.0317', '0.4359', '0.2078'] Accuracy Train: ['74.5%', '76.8%', '70.6%']%

Tests: 10000 | Loss: ['1.06', '0.91', '1.08'] | Accuracy Test: ['73.39%', '76.65%', '71.94%'] | Times: [['7.76ms', '11.32ms'], ['8.43ms', '5.73ms'], ['8.30ms', '5.15ms']] | CNFs: ['0.72', '0.77', '0.74']

Epoch:  3 Batch:   1 Loss: ['0.9423', '0.3999', '0.2010'] Accuracy Train: ['76.8%', '79.7%', '73.5%']%
Epoch:  3 Batch:  11 Loss: ['0.9436', '0.3704', '0.1792'] Accuracy Train: ['77.1%', '80.1%', '74.0%']%
Epoch:  3 Batch:  21 Loss: ['0.9124', '0.3705', '0.1902'] Accuracy Train: ['77.9%', '80.3%', '74.8%']%
Epoch:  3 Batch:  31 Loss: ['0.9460', '0.4009', '0.1995'] Accuracy Train: ['77.8%', '80.6%', '75.1%']%
Epoch:  3 Batch:  41 Loss: ['0.9273', '0.3830', '0.1863'] Accuracy Train: ['77.6%', '80.5%', '75.0%']%
Epoch:  3 Batch:  51 Loss: ['0.9271', '0.3712', '0.1838'] Accuracy Train: ['77.7%', '80.7%', '75.2%']%
Epoch:  3 Batch:  61 Loss: ['0.8429', '0.3370', '0.1740'] Accuracy Train: ['77.8%', '80.8%', '75.4%']%
Epoch:  3 Batch:  71 Loss: ['0.8828', '0.3605', '0.1795'] Accuracy Train: ['78.0%', '80.9%', '75.5%']%
Epoch:  3 Batch:  81 Loss: ['0.8581', '0.3622', '0.1834'] Accuracy Train: ['78.1%', '81.0%', '75.8%']%

Tests: 10000 | Loss: ['0.98', '0.80', '0.97'] | Accuracy Test: ['75.23%', '79.26%', '74.55%'] | Times: [['7.39ms', '11.24ms'], ['8.48ms', '5.61ms'], ['8.35ms', '5.18ms']] | CNFs: ['0.75', '0.81', '0.78']

Epoch:  4 Batch:   1 Loss: ['0.7641', '0.2896', '0.1645'] Accuracy Train: ['82.7%', '86.0%', '78.0%']%
Epoch:  4 Batch:  11 Loss: ['0.7961', '0.3277', '0.1740'] Accuracy Train: ['81.5%', '84.6%', '78.1%']%
Epoch:  4 Batch:  21 Loss: ['0.8680', '0.3388', '0.1779'] Accuracy Train: ['81.5%', '84.7%', '78.3%']%
Epoch:  4 Batch:  31 Loss: ['0.8152', '0.3321', '0.1601'] Accuracy Train: ['81.4%', '84.7%', '78.6%']%
Epoch:  4 Batch:  41 Loss: ['0.7947', '0.3207', '0.1643'] Accuracy Train: ['81.2%', '84.6%', '78.7%']%
Epoch:  4 Batch:  51 Loss: ['0.8028', '0.3166', '0.1621'] Accuracy Train: ['81.2%', '84.6%', '79.0%']%
Epoch:  4 Batch:  61 Loss: ['0.7595', '0.2896', '0.1446'] Accuracy Train: ['81.4%', '84.7%', '79.0%']%
Epoch:  4 Batch:  71 Loss: ['0.7906', '0.3125', '0.1592'] Accuracy Train: ['81.3%', '84.6%', '79.2%']%
Epoch:  4 Batch:  81 Loss: ['0.7525', '0.2969', '0.1493'] Accuracy Train: ['81.3%', '84.5%', '79.3%']%

Tests: 10000 | Loss: ['0.94', '0.75', '0.86'] | Accuracy Test: ['75.42%', '81.00%', '77.59%'] | Times: [['7.37ms', '11.21ms'], ['8.48ms', '5.63ms'], ['8.31ms', '5.25ms']] | CNFs: ['0.77', '0.82', '0.81']


Duration: 128 seconds

Tests: 10000 | Loss: ['0.71', '0.57', '0.66'] | Accuracy Test: ['75.42%', '81.00%', '77.92%'] | Times: [['7.52ms', '11.17ms'], ['8.50ms', '5.76ms'], ['8.61ms', '5.37ms']] | CNFs: ['0.77', '0.82', '0.81']

Correct: 3 - [[0.3671306371688843, 3], [0.8532789349555969, 3], [0.47257164120674133, 3]]
Correct: 8 - [[0.21512289345264435, 0], [0.30968841910362244, 8], [0.6228756308555603, 1]]
Correct: 8 - [[0.2660374939441681, 7], [0.4299147427082062, 9], [0.3749784231185913, 9]]
Correct: 0 - [[0.345242440700531, 2], [0.3635147511959076, 2], [0.4713107943534851, 0]]
Correct: 6 - [[0.3438010513782501, 3], [0.6817008256912231, 3], [0.36747145652770996, 1]]
Correct: 6 - [[0.2876330018043518, 0], [0.6947873830795288, 6], [0.3283955752849579, 6]]
Correct: 1 - [[0.28280574083328247, 1], [0.3136359751224518, 6], [0.6932991147041321, 1]]
Correct: 6 - [[0.2988205552101135, 3], [0.45276427268981934, 6], [0.30502426624298096, 9]]
Correct: 3 - [[0.673578679561615, 3], [0.9400355219841003, 3], [0.7410011291503906, 3]]
Correct: 1 - [[0.3185909688472748, 2], [0.39301514625549316, 9], [0.4495484232902527, 9]]
Correct: 0 - [[0.5790386199951172, 4], [0.42483803629875183, 0], [0.4421283006668091, 4]]
Correct: 9 - [[0.4130420386791229, 9], [0.9218363761901855, 9], [0.7890591621398926, 9]]
Correct: 5 - [[0.6868522763252258, 5], [0.34260058403015137, 5], [0.19054310023784637, 6]]
Correct: 7 - [[0.3703759014606476, 5], [0.8680803179740906, 7], [0.7812140583992004, 7]]
Correct: 9 - [[0.3444162607192993, 9], [0.8847872018814087, 9], [0.5090870261192322, 9]]
Correct: 8 - [[0.1721285581588745, 3], [0.40326306223869324, 0], [0.20257799327373505, 0]]
Correct: 5 - [[0.2866154909133911, 5], [0.4386759400367737, 5], [0.18243536353111267, 5]]
Correct: 7 - [[0.24500463902950287, 2], [0.4161266088485718, 7], [0.24629761278629303, 9]]
Correct: 8 - [[0.2616066336631775, 0], [0.6213277578353882, 0], [0.2876203954219818, 0]]
Correct: 6 - [[0.6383777856826782, 6], [0.4066782295703888, 6], [0.44829484820365906, 1]]
Correct: 7 - [[0.43769392371177673, 7], [0.9214749932289124, 7], [0.8674820065498352, 7]]
Correct: 0 - [[0.42149507999420166, 0], [0.48614346981048584, 2], [0.19249513745307922, 9]]
Correct: 4 - [[0.554564893245697, 2], [0.6228113174438477, 4], [0.8426872491836548, 4]]
Correct: 9 - [[0.3948870301246643, 9], [0.7992260456085205, 9], [0.6317827701568604, 9]]
Correct: 5 - [[0.4061940014362335, 4], [0.42270463705062866, 4], [0.5729300379753113, 4]]
Correct: 2 - [[0.547696590423584, 2], [0.33835569024086, 2], [0.43894004821777344, 2]]
Correct: 4 - [[0.429243803024292, 4], [0.6282944679260254, 0], [0.5661191344261169, 0]]
Correct: 0 - [[0.723798930644989, 0], [0.6244146227836609, 0], [0.51850825548172, 7]]
Correct: 9 - [[0.3043798506259918, 2], [0.5046283006668091, 9], [0.5863658785820007, 9]]
Correct: 6 - [[0.24626819789409637, 4], [0.4057571589946747, 4], [0.3887939155101776, 1]]
Correct: 6 - [[0.5281052589416504, 5], [0.7628101706504822, 0], [0.20963607728481293, 0]]
Correct: 5 - [[0.4131918251514435, 5], [0.366058349609375, 2], [0.20103678107261658, 2]]
Correct: 4 - [[0.37001490592956543, 4], [0.3568997383117676, 7], [0.1984463334083557, 2]]
Correct: 5 - [[0.29826533794403076, 5], [0.3408331274986267, 1], [0.9421271681785583, 1]]
Correct: 9 - [[0.7193731665611267, 9], [0.9595988988876343, 9], [0.9329089522361755, 9]]
Correct: 2 - [[0.22495703399181366, 8], [0.45168086886405945, 9], [0.3912433385848999, 3]]
Correct: 4 - [[0.22736983001232147, 2], [0.5519063472747803, 2], [0.27733367681503296, 7]]
Correct: 1 - [[0.38036301732063293, 2], [0.31841087341308594, 4], [0.18217293918132782, 9]]
Correct: 9 - [[0.8360498547554016, 9], [0.9892041087150574, 9], [0.7815484404563904, 9]]
Correct: 5 - [[0.755669116973877, 5], [0.7067299485206604, 5], [0.47060659527778625, 5]]
Correct: 4 - [[0.3208083212375641, 0], [0.5301020741462708, 4], [0.3078511953353882, 0]]
Correct: 6 - [[0.27896490693092346, 6], [0.5521153807640076, 6], [0.5867512822151184, 6]]
Correct: 5 - [[0.43969014286994934, 5], [0.31033235788345337, 2], [0.1831897646188736, 7]]
Correct: 6 - [[0.3527132570743561, 1], [0.6994390487670898, 6], [0.5591437816619873, 1]]
Correct: 0 - [[0.5934303402900696, 4], [0.6111780405044556, 4], [0.5486206412315369, 0]]
Correct: 9 - [[0.6670690774917603, 9], [0.9028332829475403, 9], [0.8639896512031555, 9]]
Correct: 3 - [[0.40600958466529846, 6], [0.8347333073616028, 3], [0.5666583180427551, 3]]
Correct: 9 - [[0.356171190738678, 5], [0.2941892743110657, 4], [0.14382483065128326, 5]]
Correct: 7 - [[0.6659622192382812, 7], [0.8266820311546326, 7], [0.8315803408622742, 7]]
Correct: 6 - [[0.22377218306064606, 9], [0.34471461176872253, 2], [0.6186379194259644, 9]]
Correct: 9 - [[0.5069983601570129, 2], [0.6879761219024658, 9], [0.4634464979171753, 9]]
Correct: 8 - [[0.3613080084323883, 2], [0.1916123330593109, 8], [0.17901122570037842, 4]]
Correct: 0 - [[0.30857300758361816, 9], [0.31372353434562683, 7], [0.36901575326919556, 9]]
Correct: 3 - [[0.3250536620616913, 9], [0.5576982498168945, 9], [0.2683085799217224, 2]]
Correct: 8 - [[0.40427786111831665, 4], [0.4500451683998108, 0], [0.44503656029701233, 0]]
Correct: 8 - [[0.29020893573760986, 0], [0.3570302128791809, 9], [0.3724258542060852, 9]]
Correct: 7 - [[0.299263060092926, 7], [0.5449561476707458, 7], [0.1859029233455658, 2]]
Correct: 7 - [[0.4699365496635437, 5], [0.6789097189903259, 3], [0.24558931589126587, 3]]
Correct: 4 - [[0.43746230006217957, 2], [0.4353601932525635, 2], [0.24513942003250122, 2]]
Correct: 6 - [[0.269483745098114, 2], [0.8499234914779663, 6], [0.2674817144870758, 6]]
Correct: 7 - [[0.705344557762146, 7], [0.8327240943908691, 7], [0.21516920626163483, 9]]
Correct: 3 - [[0.23251506686210632, 5], [0.34256863594055176, 9], [0.318176805973053, 9]]
Correct: 6 - [[0.34950849413871765, 5], [0.3616056740283966, 6], [0.1792370229959488, 4]]
Correct: 3 - [[0.4594443738460541, 0], [0.5118162035942078, 0], [0.4409763216972351, 0]]
Correct: 6 - [[0.224211186170578, 6], [0.4438621699810028, 6], [0.47077345848083496, 6]]
Correct: 2 - [[0.5015495419502258, 2], [0.3945470154285431, 7], [0.31435757875442505, 2]]
Correct: 1 - [[0.2987208664417267, 2], [0.3735854923725128, 6], [0.7274777293205261, 1]]
Correct: 2 - [[0.43312492966651917, 6], [0.3974340558052063, 6], [0.7737125754356384, 6]]
Correct: 3 - [[0.369768887758255, 3], [0.7864624857902527, 3], [0.20043298602104187, 3]]
Correct: 7 - [[0.4309137463569641, 7], [0.5740587115287781, 7], [0.30850860476493835, 9]]
Correct: 2 - [[0.32241591811180115, 2], [0.7129018902778625, 2], [0.490877240896225, 0]]
Correct: 6 - [[0.20349879562854767, 3], [0.6974189877510071, 3], [0.44874852895736694, 9]]
Correct: 8 - [[0.38843128085136414, 9], [0.3983932137489319, 2], [0.18781918287277222, 9]]
Correct: 8 - [[0.39464741945266724, 9], [0.3674476742744446, 8], [0.25775817036628723, 1]]
Correct: 0 - [[0.40160447359085083, 0], [0.5841959118843079, 0], [0.3280114531517029, 9]]
Correct: 2 - [[0.6653518080711365, 2], [0.8553335070610046, 2], [0.2607194781303406, 9]]
Correct: 9 - [[0.22404484450817108, 7], [0.3867713510990143, 0], [0.29403093457221985, 2]]
Correct: 3 - [[0.5487297773361206, 3], [0.5858843922615051, 3], [0.21574456989765167, 9]]
Correct: 3 - [[0.3100893795490265, 3], [0.40437838435173035, 3], [0.2049328237771988, 6]]
Correct: 8 - [[0.3671303689479828, 9], [0.4619678556919098, 8], [0.40790408849716187, 8]]
