cuda
Files already downloaded and verified
Files already downloaded and verified
Epoch:  0 Batch:   1 Loss: ['2.6048', '1.4299', '0.4677'] Accuracy Train: ['9.0%', '8.33%', '9.33%']%
Epoch:  0 Batch:  11 Loss: ['1.6215', '0.8782', '0.3872'] Accuracy Train: ['30.8%', '25.9%', '18.6%']%
Epoch:  0 Batch:  21 Loss: ['1.5201', '0.8365', '0.3719'] Accuracy Train: ['37.3%', '31.0%', '23.3%']%
Epoch:  0 Batch:  31 Loss: ['1.4115', '0.7589', '0.3396'] Accuracy Train: ['41.6%', '35.0%', '26.4%']%
Epoch:  0 Batch:  41 Loss: ['1.2780', '0.6771', '0.3067'] Accuracy Train: ['44.1%', '38.1%', '29.0%']%
Epoch:  0 Batch:  51 Loss: ['1.2086', '0.6346', '0.2926'] Accuracy Train: ['46.3%', '40.8%', '31.7%']%
Epoch:  0 Batch:  61 Loss: ['1.2115', '0.6196', '0.2742'] Accuracy Train: ['48.1%', '43.0%', '34.0%']%
Epoch:  0 Batch:  71 Loss: ['1.0566', '0.5565', '0.2597'] Accuracy Train: ['49.8%', '45.2%', '36.2%']%
Epoch:  0 Batch:  81 Loss: ['1.0527', '0.5329', '0.2442'] Accuracy Train: ['51.4%', '47.1%', '38.4%']%

Tests: 10000 | Loss: ['1.05', '1.08', '1.32'] | Accuracy Test: ['64.06%', '61.77%', '53.24%'] | Times: [['7.51ms', '11.89ms'], ['9.22ms', '5.98ms'], ['8.86ms', '5.33ms']] | CNFs: ['0.59', '0.61', '0.58']

Epoch:  1 Batch:   1 Loss: ['1.0068', '0.5136', '0.2505'] Accuracy Train: ['63.7%', '62.2%', '53.7%']%
Epoch:  1 Batch:  11 Loss: ['1.0428', '0.5170', '0.2502'] Accuracy Train: ['65.4%', '63.2%', '53.1%']%
Epoch:  1 Batch:  21 Loss: ['0.8761', '0.4383', '0.2121'] Accuracy Train: ['66.0%', '64.2%', '54.9%']%
Epoch:  1 Batch:  31 Loss: ['0.9055', '0.4416', '0.2300'] Accuracy Train: ['66.6%', '65.2%', '56.4%']%
Epoch:  1 Batch:  41 Loss: ['0.9238', '0.4343', '0.2039'] Accuracy Train: ['67.2%', '66.1%', '57.7%']%
Epoch:  1 Batch:  51 Loss: ['0.8984', '0.4458', '0.2186'] Accuracy Train: ['67.5%', '66.7%', '58.6%']%
Epoch:  1 Batch:  61 Loss: ['0.9136', '0.4044', '0.2009'] Accuracy Train: ['67.8%', '67.4%', '59.5%']%
Epoch:  1 Batch:  71 Loss: ['0.9054', '0.4268', '0.2016'] Accuracy Train: ['68.0%', '67.9%', '60.1%']%
Epoch:  1 Batch:  81 Loss: ['0.8541', '0.3915', '0.1875'] Accuracy Train: ['68.3%', '68.5%', '61.0%']%

Tests: 10000 | Loss: ['0.86', '0.78', '0.97'] | Accuracy Test: ['69.90%', '73.08%', '66.26%'] | Times: [['7.80ms', '11.86ms'], ['9.00ms', '6.12ms'], ['8.93ms', '5.70ms']] | CNFs: ['0.68', '0.72', '0.66']

Epoch:  2 Batch:   1 Loss: ['0.7640', '0.3498', '0.1911'] Accuracy Train: ['73.3%', '76.8%', '66.8%']%
Epoch:  2 Batch:  11 Loss: ['0.7451', '0.3192', '0.1612'] Accuracy Train: ['74.0%', '75.7%', '68.4%']%
Epoch:  2 Batch:  21 Loss: ['0.8642', '0.3911', '0.1839'] Accuracy Train: ['73.4%', '75.6%', '68.5%']%
Epoch:  2 Batch:  31 Loss: ['0.7415', '0.3498', '0.1753'] Accuracy Train: ['73.7%', '75.7%', '68.9%']%
Epoch:  2 Batch:  41 Loss: ['0.6950', '0.2928', '0.1639'] Accuracy Train: ['73.9%', '75.9%', '69.2%']%
Epoch:  2 Batch:  51 Loss: ['0.7212', '0.3152', '0.1674'] Accuracy Train: ['73.9%', '76.3%', '69.7%']%
Epoch:  2 Batch:  61 Loss: ['0.7293', '0.3461', '0.1674'] Accuracy Train: ['74.3%', '76.5%', '70.0%']%
Epoch:  2 Batch:  71 Loss: ['0.7871', '0.3648', '0.1663'] Accuracy Train: ['74.3%', '76.5%', '70.3%']%
Epoch:  2 Batch:  81 Loss: ['0.6658', '0.3015', '0.1538'] Accuracy Train: ['74.5%', '76.7%', '70.6%']%

Tests: 10000 | Loss: ['0.78', '0.72', '0.83'] | Accuracy Test: ['73.40%', '75.59%', '71.71%'] | Times: [['7.22ms', '11.08ms'], ['8.44ms', '5.54ms'], ['8.24ms', '5.14ms']] | CNFs: ['0.72', '0.77', '0.71']

Epoch:  3 Batch:   1 Loss: ['0.6576', '0.2992', '0.1509'] Accuracy Train: ['78.5%', '79.0%', '75.0%']%
Epoch:  3 Batch:  11 Loss: ['0.6271', '0.2712', '0.1403'] Accuracy Train: ['77.2%', '79.8%', '74.3%']%
Epoch:  3 Batch:  21 Loss: ['0.6388', '0.2533', '0.1372'] Accuracy Train: ['77.7%', '80.7%', '75.1%']%
Epoch:  3 Batch:  31 Loss: ['0.6698', '0.2962', '0.1471'] Accuracy Train: ['77.8%', '80.9%', '75.2%']%
Epoch:  3 Batch:  41 Loss: ['0.6160', '0.2594', '0.1303'] Accuracy Train: ['78.0%', '81.0%', '75.5%']%
Epoch:  3 Batch:  51 Loss: ['0.6612', '0.2832', '0.1558'] Accuracy Train: ['78.0%', '81.1%', '75.5%']%
Epoch:  3 Batch:  61 Loss: ['0.5466', '0.2327', '0.1277'] Accuracy Train: ['78.3%', '81.3%', '75.7%']%
Epoch:  3 Batch:  71 Loss: ['0.6380', '0.2649', '0.1317'] Accuracy Train: ['78.3%', '81.3%', '75.7%']%
Epoch:  3 Batch:  81 Loss: ['0.6313', '0.2588', '0.1283'] Accuracy Train: ['78.4%', '81.3%', '75.9%']%

Tests: 10000 | Loss: ['0.70', '0.60', '0.70'] | Accuracy Test: ['75.92%', '79.64%', '76.11%'] | Times: [['6.95ms', '10.90ms'], ['8.47ms', '5.55ms'], ['8.19ms', '5.07ms']] | CNFs: ['0.75', '0.80', '0.77']

Epoch:  4 Batch:   1 Loss: ['0.5795', '0.2511', '0.1248'] Accuracy Train: ['79.8%', '81.5%', '78.5%']%
Epoch:  4 Batch:  11 Loss: ['0.5062', '0.2156', '0.1249'] Accuracy Train: ['82.6%', '84.9%', '79.6%']%
Epoch:  4 Batch:  21 Loss: ['0.5737', '0.2502', '0.1359'] Accuracy Train: ['82.4%', '84.9%', '79.2%']%
Epoch:  4 Batch:  31 Loss: ['0.5229', '0.2021', '0.1163'] Accuracy Train: ['82.1%', '84.9%', '79.3%']%
Epoch:  4 Batch:  41 Loss: ['0.5963', '0.2348', '0.1229'] Accuracy Train: ['81.7%', '84.7%', '79.3%']%
Epoch:  4 Batch:  51 Loss: ['0.5725', '0.2585', '0.1241'] Accuracy Train: ['81.6%', '84.6%', '79.5%']%
Epoch:  4 Batch:  61 Loss: ['0.6213', '0.2613', '0.1292'] Accuracy Train: ['81.6%', '84.5%', '79.5%']%
Epoch:  4 Batch:  71 Loss: ['0.5426', '0.2231', '0.1198'] Accuracy Train: ['81.6%', '84.6%', '79.5%']%
Epoch:  4 Batch:  81 Loss: ['0.5095', '0.2107', '0.1077'] Accuracy Train: ['81.6%', '84.7%', '79.6%']%

Tests: 10000 | Loss: ['0.70', '0.57', '0.66'] | Accuracy Test: ['76.28%', '80.97%', '78.37%'] | Times: [['7.08ms', '10.96ms'], ['8.39ms', '5.49ms'], ['8.34ms', '5.23ms']] | CNFs: ['0.77', '0.83', '0.81']


Duration: 127 seconds

Tests: 10000 | Loss: ['0.70', '0.57', '0.66'] | Accuracy Test: ['76.28%', '80.97%', '78.59%'] | Times: [['6.89ms', '10.88ms'], ['8.35ms', '5.50ms'], ['8.25ms', '5.05ms']] | CNFs: ['0.77', '0.83', '0.81']

Correct: 3 - [[0.30146875977516174, 3], [0.7215815186500549, 3], [0.4469303488731384, 3]]
Correct: 8 - [[0.6043314933776855, 9], [0.3350062072277069, 1], [0.5881518125534058, 1]]
Correct: 8 - [[0.4706486463546753, 3], [0.6181459426879883, 3], [0.4238639175891876, 3]]
Correct: 0 - [[0.28418391942977905, 7], [0.5608783960342407, 2], [0.21537955105304718, 2]]
Correct: 6 - [[0.46301573514938354, 3], [0.44158172607421875, 3], [0.383660227060318, 1]]
Correct: 6 - [[0.2723197042942047, 9], [0.6154025197029114, 6], [0.6758406162261963, 6]]
Correct: 1 - [[0.33931654691696167, 9], [0.24850472807884216, 1], [0.24706101417541504, 9]]
Correct: 6 - [[0.2835180461406708, 9], [0.46724414825439453, 6], [0.6712610125541687, 6]]
Correct: 3 - [[0.6735138893127441, 3], [0.9708550572395325, 3], [0.9318991899490356, 3]]
Correct: 1 - [[0.6121271252632141, 9], [0.6114158034324646, 1], [0.8610441088676453, 1]]
Correct: 0 - [[0.39060989022254944, 9], [0.2998199462890625, 4], [0.3614814281463623, 4]]
Correct: 9 - [[0.70194411277771, 9], [0.9422314167022705, 9], [0.9732087850570679, 9]]
Correct: 5 - [[0.24706262350082397, 5], [0.3353888690471649, 3], [0.24018332362174988, 4]]
Correct: 7 - [[0.6802952289581299, 7], [0.9690722227096558, 7], [0.988613486289978, 7]]
Correct: 9 - [[0.8268863558769226, 9], [0.911672830581665, 9], [0.5455241799354553, 9]]
Correct: 8 - [[0.1948665976524353, 2], [0.25671324133872986, 3], [0.25197386741638184, 6]]
Correct: 5 - [[0.4393674433231354, 3], [0.2970302104949951, 3], [0.3654322326183319, 3]]
Correct: 7 - [[0.35884299874305725, 9], [0.296921968460083, 9], [0.24635909497737885, 9]]
Correct: 8 - [[0.3273618817329407, 9], [0.485953152179718, 8], [0.23974035680294037, 9]]
Correct: 6 - [[0.55482017993927, 6], [0.8933128714561462, 6], [0.8919357061386108, 6]]
Correct: 7 - [[0.7708712220191956, 7], [0.7233748435974121, 7], [0.45462432503700256, 7]]
Correct: 0 - [[0.3566615581512451, 2], [0.8940942883491516, 2], [0.23413579165935516, 2]]
Correct: 4 - [[0.40289774537086487, 4], [0.8482630252838135, 4], [0.9833322763442993, 4]]
Correct: 9 - [[0.5899693369865417, 9], [0.9255271553993225, 9], [0.6793857216835022, 9]]
Correct: 5 - [[0.45404762029647827, 2], [0.511262834072113, 4], [0.7071838974952698, 4]]
Correct: 2 - [[0.34487202763557434, 2], [0.9321402907371521, 2], [0.46170899271965027, 2]]
Correct: 4 - [[0.3544433116912842, 4], [0.7585020661354065, 4], [0.5216574668884277, 4]]
Correct: 0 - [[0.5968661904335022, 0], [0.4883933961391449, 0], [0.47609007358551025, 0]]
Correct: 9 - [[0.27570757269859314, 7], [0.3721671998500824, 9], [0.7644459009170532, 9]]
Correct: 6 - [[0.17059852182865143, 0], [0.46238136291503906, 2], [0.2601641118526459, 6]]
Correct: 6 - [[0.38567766547203064, 3], [0.35969993472099304, 9], [0.30772697925567627, 4]]
Correct: 5 - [[0.4991849958896637, 2], [0.2850223779678345, 3], [0.3447495102882385, 5]]
Correct: 4 - [[0.47273558378219604, 7], [0.5646296739578247, 2], [0.4011228382587433, 2]]
Correct: 5 - [[0.3151865303516388, 1], [0.7434969544410706, 1], [0.8308881521224976, 1]]
Correct: 9 - [[0.47662100195884705, 7], [0.658264696598053, 9], [0.5333383679389954, 7]]
Correct: 2 - [[0.320167601108551, 9], [0.40625807642936707, 3], [0.3576805293560028, 9]]
Correct: 4 - [[0.4599020183086395, 7], [0.7056180834770203, 4], [0.7518549561500549, 4]]
Correct: 1 - [[0.37786269187927246, 2], [0.30589163303375244, 9], [0.20679375529289246, 2]]
Correct: 9 - [[0.9367016553878784, 9], [0.9756215810775757, 9], [0.917051374912262, 9]]
Correct: 5 - [[0.42785659432411194, 5], [0.32283690571784973, 5], [0.24365240335464478, 5]]
Correct: 4 - [[0.2508257329463959, 9], [0.6589198112487793, 4], [0.3083822727203369, 4]]
Correct: 6 - [[0.2433830052614212, 6], [0.6969349384307861, 6], [0.6826793551445007, 6]]
Correct: 5 - [[0.4565434455871582, 7], [0.32593590021133423, 3], [0.3070586621761322, 7]]
Correct: 6 - [[0.3077544867992401, 1], [0.6094601154327393, 6], [0.45381757616996765, 1]]
Correct: 0 - [[0.3037434220314026, 7], [0.2642036974430084, 9], [0.44451838731765747, 0]]
Correct: 9 - [[0.8530131578445435, 9], [0.7561697959899902, 9], [0.2410583198070526, 9]]
Correct: 3 - [[0.7466637492179871, 3], [0.7910400629043579, 3], [0.2949042022228241, 3]]
Correct: 9 - [[0.42162737250328064, 3], [0.41093945503234863, 3], [0.32587218284606934, 4]]
Correct: 7 - [[0.724147379398346, 7], [0.3855815529823303, 7], [0.6526781320571899, 7]]
Correct: 6 - [[0.3105115294456482, 9], [0.31954658031463623, 9], [0.36832675337791443, 6]]
Correct: 9 - [[0.5054981708526611, 7], [0.33043691515922546, 7], [0.2206309586763382, 7]]
Correct: 8 - [[0.26457569003105164, 9], [0.5098892450332642, 7], [0.2676689922809601, 9]]
Correct: 0 - [[0.7390255331993103, 9], [0.3055660128593445, 9], [0.8605906963348389, 9]]
Correct: 3 - [[0.40689802169799805, 9], [0.47321245074272156, 2], [0.22762621939182281, 3]]
Correct: 8 - [[0.5734742283821106, 9], [0.42322972416877747, 9], [0.23328490555286407, 9]]
Correct: 8 - [[0.8271465301513672, 9], [0.6584106087684631, 9], [0.820191502571106, 9]]
Correct: 7 - [[0.5452587604522705, 7], [0.41348692774772644, 7], [0.26866471767425537, 3]]
Correct: 7 - [[0.3410153090953827, 3], [0.6784025430679321, 3], [0.32283809781074524, 3]]
Correct: 4 - [[0.3493996560573578, 2], [0.6082841753959656, 2], [0.38100114464759827, 2]]
Correct: 6 - [[0.35231462121009827, 6], [0.6186433434486389, 4], [0.5546668171882629, 4]]
Correct: 7 - [[0.7842860221862793, 7], [0.5328480005264282, 7], [0.4196341633796692, 4]]
Correct: 3 - [[0.5198623538017273, 3], [0.25582993030548096, 3], [0.30820444226264954, 6]]
Correct: 6 - [[0.2064906656742096, 3], [0.46972864866256714, 6], [0.3146951496601105, 6]]
Correct: 3 - [[0.2232048064470291, 3], [0.4159637689590454, 2], [0.5864245295524597, 0]]
Correct: 6 - [[0.29103291034698486, 6], [0.4167252779006958, 1], [0.4802229702472687, 1]]
Correct: 2 - [[0.3275355398654938, 7], [0.558368980884552, 7], [0.23756873607635498, 3]]
Correct: 1 - [[0.2724861204624176, 1], [0.4341127574443817, 1], [0.21443210542201996, 3]]
Correct: 2 - [[0.39261409640312195, 4], [0.702634871006012, 2], [0.5653892755508423, 6]]
Correct: 3 - [[0.2938884198665619, 3], [0.38682201504707336, 3], [0.5369430184364319, 3]]
Correct: 7 - [[0.2562183141708374, 0], [0.8602191805839539, 7], [0.5216730237007141, 7]]
Correct: 2 - [[0.3752176761627197, 2], [0.7977178692817688, 2], [0.30729925632476807, 0]]
Correct: 6 - [[0.4678207039833069, 3], [0.41615229845046997, 3], [0.47993752360343933, 3]]
Correct: 8 - [[0.5901672840118408, 9], [0.685378909111023, 2], [0.3316451609134674, 8]]
Correct: 8 - [[0.5581369400024414, 9], [0.34792399406433105, 2], [0.3428071439266205, 9]]
Correct: 0 - [[0.2745949923992157, 2], [0.5975223779678345, 0], [0.1662234663963318, 6]]
Correct: 2 - [[0.7157570123672485, 2], [0.8505422472953796, 2], [0.33465147018432617, 2]]
Correct: 9 - [[0.255321741104126, 0], [0.5873220562934875, 2], [0.40211033821105957, 9]]
Correct: 3 - [[0.4397790729999542, 3], [0.671245813369751, 3], [0.3126802444458008, 6]]
Correct: 3 - [[0.5117262005805969, 3], [0.7627531886100769, 3], [0.3607933223247528, 3]]
Correct: 8 - [[0.517725944519043, 9], [0.42760488390922546, 8], [0.4267147481441498, 8]]
