period	acc0	acc1	acc2	accuracy	time0	time1	time2	time	rate0	rate1	rate2	accpick0	accpick1	accpick2
2016-01	90,71	91,36	93,86	93,54	0,1507	0,5321	1,159	0,2655	82,52	9,81	7,67	94,66	90,28	85,65
2016-02	89,98	91,06	93,18	93,13	0,14	0,4744	0,9331	0,2466	79,67	11,91	8,42	94,44	92,89	81,02
2016-03	91,48	93,53	94,77	94,62	0,1339	0,4917	0,9739	0,2283	81,76	12,20	6,04	95,60	93,36	83,88
2016-04	92,03	92,61	95,32	95,42	0,1314	0,4533	0,8963	0,2241	83,21	8,06	8,73	96,02	94,97	90,11
2016-05	88,93	92,86	94,71	94,91	0,1307	0,4717	0,9396	0,2243	83,10	9,22	7,68	95,26	96,56	89,14
2016-06	89,60	92,89	92,42	92,57	0,1318	0,4601	0,9138	0,2242	83,00	8,94	8,05	94,76	95,49	66,70
2016-07	91,45	91,61	92,60	92,57	0,1331	0,4566	0,8944	0,2151	82,16	12,29	5,55	94,57	90,71	67,08
2016-08	89,92	91,61	93,74	93,91	0,1318	0,4632	0,9157	0,2017	86,67	7,66	5,68	94,13	92,88	91,85
2016-09	89,86	91,59	91,79	91,95	0,1315	0,4535	0,8945	0,1817	89,93	6,04	4,02	92,41	93,03	79,98
2016-10	84,70	86,02	87,85	87,70	0,1299	0,4379	0,8705	0,1875	88,68	6,05	5,26	88,14	90,29	77,41
2016-11	78,78	80,16	81,05	80,85	0,1308	0,4599	0,9067	0,1791	90,16	6,29	3,55	80,07	91,52	81,61
2016-12	83,47	84,96	86,22	86,22	0,1299	0,4765	0,9484	0,1997	86,14	9,25	4,61	85,32	94,76	85,89
2017-01	85,65	86,82	88,12	87,85	0,1322	0,4479	0,8748	0,1826	89,39	6,64	3,96	87,70	90,48	86,61
2017-02	87,72	89,32	88,95	89,17	0,1342	0,4578	0,8882	0,1850	89,96	5,78	4,25	89,73	87,36	79,77
2017-03	76,43	89,75	89,80	90,07	0,131	0,4746	0,9373	0,2276	76,02	20,93	3,06	88,64	96,62	80,90
2017-04	52,56	53,88	54,39	53,89	0,1324	0,4837	0,9623	0,2197	81,35	14,11	4,55	52,60	60,73	55,77
2017-05	85,09	87,21	88,06	87,91	0,1318	0,4681	0,9198	0,1922	87,02	9,29	3,70	87,77	93,12	78,20
2017-06	85,61	83,35	84,49	84,87	0,132	0,4635	0,9167	0,2193	83,42	9,44	7,14	89,71	68,33	50,14
2017-07	82,51	85,37	85,51	85,50	0,133	0,5192	0,9974	0,2286	83,52	9,81	6,67	85,95	88,34	75,58
2017-08	78,77	82,34	84,63	84,72	0,1371	0,5082	1,012	0,2333	82,62	11,07	6,31	83,74	91,29	85,91
2017-09	87,73	89,42	91,53	92,12	0,1359	0,4678	0,9118	0,2118	85,27	8,65	6,08	92,27	94,05	87,32
2017-10	61,87	64,38	64,56	65,00	0,1325	0,4486	0,8752	0,1990	85,13	10,30	4,57	61,03	89,77	82,97
2017-11	84,53	87,03	86,36	86,82	0,1326	0,5134	1,014	0,1983	88,69	6,80	4,51	87,50	89,16	70,04
2017-12	80,83	82,32	84,30	84,32	0,1325	0,458	0,9041	0,2072	85,23	8,81	5,96	83,78	93,92	77,91
2018-01	66,87	72,60	68,69	68,77	0,1339	0,4693	0,926	0,2146	82,43	12,80	4,77	70,78	61,03	54,87
2018-02	61,82	63,78	64,03	63,62	0,1356	0,4674	0,9258	0,1962	87,04	9,13	3,83	60,88	90,21	62,70
2018-03	84,45	86,06	87,43	87,62	0,1333	0,4785	0,9282	0,1856	89,32	7,25	3,43	87,38	93,27	81,94
2018-04	66,45	68,18	68,88	68,38	0,1335	0,4514	0,8726	0,1774	90,77	5,78	3,45	66,77	89,50	75,52
2018-05	81,33	83,14	83,64	83,80	0,1314	0,4508	0,8852	0,1805	89,40	7,10	3,50	83,55	92,93	71,81
2018-06	42,15	43,58	46,91	46,45	0,133	0,4571	0,8944	0,2138	84,15	9,11	6,73	39,64	86,21	77,67
2018-07	60,13	61,81	61,95	61,69	0,134	0,4614	0,9018	0,1865	88,60	7,96	3,45	58,94	90,28	66,17
2018-08	56,56	60,14	60,39	60,90	0,1341	0,4737	0,9341	0,2162	83,20	11,34	5,45	55,57	93,55	74,16
2018-09	72,02	79,27	79,75	80,38	0,1344	0,4514	0,893	0,2307	79,02	14,22	6,75	78,22	95,14	74,58
2018-10	52,18	54,04	55,63	55,18	0,1334	0,4697	0,9181	0,1964	87,55	7,75	4,70	51,35	88,12	72,22
2018-11	75,29	79,25	80,00	80,74	0,1343	0,4823	0,9469	0,2305	79,92	14,43	5,65	78,90	93,41	74,27
