period	acc0	acc1	acc2	accuracy	time0	time1	time2	time	rate0	rate1	rate2	accpick0	accpick1	accpick2
2016-01	90,71	91,36	93,86	93,59	0,1054	0,3479	0,7148	0,2192	73,93	12,29	13,79	94,68	96,64	85,04
2016-02	89,98	91,06	93,18	93,06	0,09753	0,3111	0,5913	0,2002	70,47	15,42	14,12	94,48	97,19	81,45
2016-03	91,48	93,53	94,77	94,63	0,09637	0,3205	0,6164	0,1953	71,04	17,46	11,50	96,05	96,95	82,32
2016-04	92,03	92,61	95,32	95,38	0,09669	0,3067	0,5629	0,1857	74,23	12,13	13,64	96,01	97,06	90,42
2016-05	88,93	92,86	94,71	94,60	0,1098	0,3298	0,6125	0,2105	71,68	14,74	13,58	95,00	97,75	89,04
2016-06	89,60	92,89	92,42	92,49	0,1676	0,5688	1,151	0,3449	75,97	10,12	13,91	94,85	95,57	77,33
2016-07	91,45	91,61	92,60	92,42	0,1091	0,3451	0,6405	0,2157	73,98	10,72	15,30	94,42	97,07	79,54
2016-08	89,92	91,61	93,74	93,79	0,1049	0,3413	0,6304	0,1846	78,87	10,86	10,27	93,89	97,44	89,18
2016-09	89,86	91,59	91,79	91,76	0,09713	0,3069	0,5727	0,1603	80,67	10,82	8,52	91,86	97,68	83,21
2016-10	84,70	86,02	87,85	87,59	0,09791	0,3136	0,5702	0,1616	81,65	8,97	9,38	87,57	96,77	78,98
2016-11	78,78	80,16	81,05	80,84	0,1482	0,5208	1,03	0,2505	82,55	10,12	7,33	78,82	96,15	82,51
2016-12	83,47	84,96	86,22	86,05	0,1077	0,3667	0,6861	0,2042	74,62	15,74	9,64	83,40	98,86	85,62
2017-01	85,65	86,82	88,12	87,86	0,1008	0,3222	0,5978	0,1776	77,41	12,87	9,72	86,17	98,43	87,31
2017-02	87,72	89,32	88,95	89,03	0,09637	0,3105	0,5729	0,1816	71,83	18,69	9,48	87,61	98,41	81,28
2017-03	76,43	89,75	89,80	90,08	0,117	0,3568	0,6772	0,2413	67,63	17,79	14,58	87,76	98,46	90,66
2017-04	52,56	53,88	54,39	53,90	0,1062	0,3554	0,647	0,1929	74,81	17,00	8,19	49,96	71,86	52,60
2017-05	85,09	87,21	88,06	87,81	0,09994	0,3693	0,6741	0,1892	75,63	16,63	7,74	86,73	97,24	78,11
2017-06	85,61	83,35	84,49	84,75	0,1062	0,4316	0,7459	0,2318	71,76	17,51	10,73	88,72	83,85	59,65
2017-07	82,51	85,37	85,51	85,30	0,2458	0,8849	1,819	0,6335	63,86	19,35	16,79	82,80	97,06	81,30
2017-08	78,77	82,34	84,63	84,65	0,1114	0,4098	0,7757	0,2511	67,57	20,71	11,72	81,22	97,34	82,03
2017-09	87,73	89,42	91,53	92,02	0,101	0,3255	0,602	0,2272	61,55	24,04	14,41	90,00	98,44	89,96
2017-10	61,87	64,38	64,56	64,93	0,09918	0,3094	0,5685	0,1738	74,41	17,58	8,01	56,36	96,87	74,37
2017-11	84,53	87,03	86,36	86,85	0,09832	0,3623	0,6932	0,1928	75,93	14,73	9,34	86,18	95,95	77,96
2017-12	80,83	82,32	84,30	84,28	0,09599	0,3112	0,5861	0,1964	69,57	17,73	12,70	80,89	97,72	84,11
2018-01	66,87	72,60	68,69	68,37	0,09583	0,3166	0,5783	0,2161	66,01	16,69	17,30	71,48	70,39	54,56
2018-02	61,82	63,78	64,03	63,63	0,1062	0,3538	0,648	0,2233	71,84	12,08	16,08	54,14	93,20	83,78
2018-03	84,45	86,06	87,43	87,60	0,1785	0,6274	1,253	0,4311	67,90	14,76	17,34	84,24	96,52	93,17
2018-04	66,45	68,18	68,88	68,39	0,09949	0,3206	0,5867	0,2291	68,74	8,54	22,72	57,37	93,02	92,44
2018-05	81,33	83,14	83,64	83,66	0,1003	0,3282	0,5964	0,1833	75,81	13,80	10,39	81,29	96,98	83,24
2018-06	42,15	43,58	46,91	46,47	0,1093	0,3437	0,6064	0,1871	78,27	11,51	10,21	36,56	88,98	74,47
2018-07	60,13	61,81	61,95	61,57	0,162	0,5402	1,076	0,2808	80,70	10,76	8,55	55,86	94,26	74,32
2018-08	56,56	60,14	60,39	60,67	0,09635	0,3142	0,5931	0,1802	75,40	13,76	10,84	52,24	94,77	76,06
2018-09	72,02	79,27	79,75	80,25	0,1036	0,3262	0,6019	0,2315	63,68	19,25	17,07	74,06	96,73	84,75
2018-10	52,18	54,04	55,63	55,33	0,1553	0,5686	1,126	0,3092	75,97	14,25	9,78	45,60	92,42	76,88
2018-11	75,29	79,25	80,00	79,52	0,1109	0,3749	0,7101	0,2414	67,69	18,85	13,47	76,25	95,81	73,16
2018-12	58,77	68,19	82,31	81,76	0,09978	0,323	0,5746	0,2902	56,60	6,23	37,17	71,13	88,92	96,74
2019-01	58,38	62,92	70,91	70,35	0,1927	0,5933	0,959	0,3897	70,64	7,62	21,73	62,10	86,89	91,35
2019-02	53,17	57,43	67,15	66,61	0,1992	0,5271	0,7957	0,3906	64,15	8,39	27,46	53,97	89,67	89,11
2019-03	45,34	48,30	54,71	54,03	0,2456	0,7016	1,111	0,4762	68,47	10,32	21,21	43,78	70,00	79,33
2019-04	62,64	63,45	71,61	71,00	0,1039	0,3422	0,6379	0,2507	64,97	13,61	21,41	67,55	75,54	78,57
2019-05	73,28	75,40	78,90	78,97	0,1321	0,427	0,8081	0,3079	66,54	13,21	20,25	80,47	66,31	82,29
2019-06	71,61	74,35	74,89	74,54	0,1195	0,3539	0,6463	0,2279	69,36	18,12	12,52	72,24	83,52	74,35
2019-07	57,06	56,14	59,61	59,25	0,127	0,4228	0,8288	0,2896	69,64	12,44	17,92	51,57	68,04	82,98
2019-08	77,24	75,50	77,21	77,25	0,09962	0,3233	0,5895	0,1989	72,90	12,56	14,53	75,32	83,88	81,21
2019-09	60,37	60,86	61,77	61,41	0,1318	0,446	0,8552	0,2211	82,34	9,40	8,26	57,83	84,13	71,20
2019-10	58,20	58,50	60,23	59,85	0,09724	0,3087	0,5653	0,1933	75,14	7,90	16,96	50,50	92,95	85,87
2019-11	56,89	58,47	59,57	58,82	0,1407	0,4747	0,9364	0,2588	79,26	10,17	10,57	53,12	85,38	75,99
2019-12	73,87	75,75	77,03	76,75	0,0974	0,3107	0,569	0,2189	66,42	14,28	19,30	74,30	78,62	83,79
