Processing alexnet
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     49 |             - |             -
     2 |      180 |     72 |  0.1087076527 |         ideal
     3 |      260 |     92 |  0.5203813547 |         ideal
     4 |      340 |    100 |  0.0170701277 |         nadir
     5 |      420 |    100 |  0.0097148384 |             f
     6 |      500 |    100 |  0.0431599605 |         ideal
     7 |      580 |    100 |  0.0053876099 |         ideal
     8 |      660 |    100 |  0.0274905073 |         nadir
     9 |      740 |    100 |  0.2427208062 |         ideal
    10 |      820 |    100 |  0.0057067346 |             f
    11 |      900 |    100 |  0.0072518391 |             f
    12 |      980 |    100 |  0.0316433441 |         ideal
    13 |     1060 |    100 |  0.0064312468 |         nadir
    14 |     1140 |    100 |  0.0056063160 |             f
    15 |     1220 |    100 |  0.0781277948 |         ideal
    16 |     1300 |    100 |  0.0048325759 |             f
    17 |     1380 |    100 |  0.0174739793 |         ideal
    18 |     1460 |    100 |  0.0059938959 |             f
    19 |     1540 |    100 |  0.0056515512 |             f
    20 |     1620 |    100 |  0.0208464945 |         ideal
    21 |     1700 |    100 |  0.0055727081 |             f
    22 |     1780 |    100 |  0.0082129023 |             f
    23 |     1860 |    100 |  0.0044124959 |             f
    24 |     1940 |    100 |  0.0028811283 |             f
    25 |     2020 |    100 |  0.0071687512 |             f
    26 |     2100 |    100 |  0.0047368920 |             f
    27 |     2180 |    100 |  0.0053050319 |             f
    28 |     2260 |    100 |  0.0087782354 |         ideal
    29 |     2340 |    100 |  0.0042450010 |             f
    30 |     2420 |    100 |  0.0046320427 |         nadir
    31 |     2500 |    100 |  0.0055067354 |             f
    32 |     2580 |    100 |  0.0058408035 |             f
    33 |     2660 |    100 |  0.0042429108 |         nadir
    34 |     2740 |    100 |  0.0057068538 |             f
    35 |     2820 |    100 |  0.0072182737 |             f
    36 |     2900 |    100 |  0.0041330692 |             f
    37 |     2980 |    100 |  0.0121088362 |         nadir
    38 |     3060 |    100 |  0.0059478391 |             f
    39 |     3140 |    100 |  0.0087801914 |             f
    40 |     3220 |    100 |  0.0101639456 |         ideal
    41 |     3300 |    100 |  0.0095557377 |             f
    42 |     3380 |    100 |  0.0047664016 |             f
    43 |     3460 |    100 |  0.0090304464 |             f
    44 |     3540 |    100 |  0.0067887020 |             f
    45 |     3620 |    100 |  0.0078755558 |             f
    46 |     3700 |    100 |  0.0041388601 |             f
    47 |     3780 |    100 |  0.0087450435 |             f
    48 |     3860 |    100 |  0.0060884711 |             f
    49 |     3940 |    100 |  0.0057590240 |             f
    50 |     4020 |    100 |  0.0055092367 |             f
