Processing alexnet
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      100 |     22 |  0.000000E+00 |  0.0082426880 |             - |             -
     2 |      180 |     29 |  0.000000E+00 |  0.000000E+00 |  0.1522455742 |         ideal
     3 |      260 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0123697019 |         ideal
     4 |      340 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0200229395 |         ideal
     5 |      420 |     66 |  0.000000E+00 |  0.000000E+00 |  0.0057361507 |             f
     6 |      500 |     68 |  0.000000E+00 |  0.000000E+00 |  0.0270658830 |         ideal
     7 |      580 |     71 |  0.000000E+00 |  0.000000E+00 |  0.0032488411 |             f
     8 |      660 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0061636479 |         ideal
     9 |      740 |     95 |  0.000000E+00 |  0.000000E+00 |  0.0058441910 |         ideal
    10 |      820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0034870974 |             f
    11 |      900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015240710 |             f
    12 |      980 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0024489349 |             f
    13 |     1060 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0267130978 |         nadir
    14 |     1140 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014112929 |             f
    15 |     1220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0028134714 |         ideal
    16 |     1300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014964923 |             f
    17 |     1380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0031121209 |             f
    18 |     1460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008081302 |             f
    19 |     1540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.4175837970 |         nadir
    20 |     1620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008561506 |             f
    21 |     1700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014463001 |             f
    22 |     1780 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0092742197 |         nadir
    23 |     1860 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0005618593 |             f
    24 |     1940 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0073543956 |         ideal
    25 |     2020 |    100 |  0.000000E+00 |  0.000000E+00 |  0.3008730340 |         ideal
    26 |     2100 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0006691999 |             f
    27 |     2180 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008198272 |             f
    28 |     2260 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0011656009 |             f
    29 |     2340 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0012502151 |             f
    30 |     2420 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0016117587 |             f
    31 |     2500 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017028247 |             f
    32 |     2580 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0037560140 |         nadir
    33 |     2660 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0175170079 |         ideal
    34 |     2740 |     66 |  0.000000E+00 |  0.000000E+00 |  0.0047936758 |             f
    35 |     2820 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0034602825 |         nadir
    36 |     2900 |     72 |  0.000000E+00 |  0.000000E+00 |  0.0162165272 |         ideal
    37 |     2980 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0110534940 |         ideal
    38 |     3060 |     97 |  0.000000E+00 |  0.000000E+00 |  0.0032090956 |         nadir
    39 |     3140 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004236075 |             f
    40 |     3220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0032194271 |         nadir
    41 |     3300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0010012611 |             f
    42 |     3380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0025110950 |             f
    43 |     3460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0061446935 |         nadir
    44 |     3540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0070220863 |         ideal
    45 |     3620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0078757507 |         ideal
    46 |     3700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0002470620 |             f
    47 |     3780 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017086785 |             f
    48 |     3860 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0029973314 |             f
    49 |     3940 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0072018301 |         ideal
    50 |     4020 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0092056631 |         nadir
    51 |     4100 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0007090359 |             f
    52 |     4180 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0031582114 |         ideal
    53 |     4260 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0002616907 |             f
    54 |     4340 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0005312716 |             f
    55 |     4420 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0006713609 |             f
    56 |     4500 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0058812963 |         ideal
    57 |     4580 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0001594136 |             f
    58 |     4660 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0003868155 |             f
    59 |     4740 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008565019 |             f
    60 |     4820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0012221338 |             f
    61 |     4900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014711789 |             f
    62 |     4980 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015240761 |             f
    63 |     5060 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017925372 |             f
    64 |     5140 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0020194188 |             f
    65 |     5220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0021847372 |             f
    66 |     5300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0024801613 |             f
    67 |     5380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0029711479 |             f
    68 |     5460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0002592509 |             f
    69 |     5540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0005962308 |             f
    70 |     5620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0473298335 |         nadir
    71 |     5700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0003121011 |             f
    72 |     5780 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0005773103 |             f
    73 |     5860 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008584637 |             f
    74 |     5940 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0009622020 |             f
    75 |     6020 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0012241147 |             f
    76 |     6100 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013557359 |             f
    77 |     6180 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013091698 |             f
    78 |     6260 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014245248 |             f
    79 |     6340 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015229393 |             f
    80 |     6420 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015661901 |             f
    81 |     6500 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017645592 |             f
    82 |     6580 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017710470 |             f
    83 |     6660 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017916065 |             f
    84 |     6740 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017219457 |             f
    85 |     6820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0018076894 |             f
    86 |     6900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0018404547 |             f
