/home/ubuntu/earlyexit/jupyter/./nsga2.py:73: RuntimeWarning: invalid value encountered in scalar divide
  accuracy = correct / accepted
Processing mobilenet
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     43 |             - |             -
     2 |      180 |     54 |  0.0241102892 |             f
     3 |      260 |     82 |  0.1726361238 |         nadir
     4 |      340 |    100 |  0.0147389706 |         ideal
     5 |      420 |    100 |  0.0552787975 |         ideal
     6 |      500 |    100 |  0.1012653301 |         ideal
     7 |      580 |    100 |  0.0167053598 |         ideal
     8 |      660 |    100 |  0.0329042291 |         nadir
     9 |      740 |    100 |  0.1018003482 |         ideal
    10 |      820 |    100 |  0.0364301340 |         ideal
    11 |      900 |    100 |  0.1288633641 |         ideal
    12 |      980 |    100 |  0.0566104514 |         ideal
    13 |     1060 |    100 |  0.0789576069 |         ideal
    14 |     1140 |    100 |  0.0041746402 |             f
    15 |     1220 |    100 |  0.0124419457 |         nadir
    16 |     1300 |    100 |  0.0058675660 |             f
    17 |     1380 |    100 |  0.0084931414 |         ideal
    18 |     1460 |    100 |  0.0080700112 |             f
    19 |     1540 |    100 |  0.0052762822 |             f
    20 |     1620 |    100 |  0.0077157359 |             f
    21 |     1700 |    100 |  0.0180629845 |         ideal
    22 |     1780 |    100 |  0.0051309932 |             f
    23 |     1860 |    100 |  0.0104596369 |             f
    24 |     1940 |    100 |  0.0112644419 |         ideal
    25 |     2020 |    100 |  0.0091898343 |             f
    26 |     2100 |    100 |  0.0079753606 |             f
    27 |     2180 |    100 |  0.0039077468 |             f
    28 |     2260 |    100 |  0.0038345229 |             f
    29 |     2340 |    100 |  0.0078004833 |             f
    30 |     2420 |    100 |  0.0092140781 |             f
    31 |     2500 |    100 |  0.0055593645 |             f
    32 |     2580 |    100 |  0.0113583876 |             f
    33 |     2660 |    100 |  0.0067310720 |             f
    34 |     2740 |    100 |  0.0069354725 |             f
    35 |     2820 |    100 |  0.0054203046 |             f
    36 |     2900 |    100 |  0.0045500687 |             f
    37 |     2980 |    100 |  0.0062619115 |             f
    38 |     3060 |    100 |  0.0037964148 |             f
    39 |     3140 |    100 |  0.0074145254 |             f
    40 |     3220 |    100 |  0.0055665944 |             f
    41 |     3300 |    100 |  0.0086343910 |             f
    42 |     3380 |    100 |  0.0027749249 |         ideal
    43 |     3460 |    100 |  0.0063851256 |             f
    44 |     3540 |    100 |  0.0067353311 |             f
    45 |     3620 |    100 |  0.0075701921 |             f
    46 |     3700 |    100 |  0.0050701290 |             f
    47 |     3780 |    100 |  0.0065226279 |             f
    48 |     3860 |    100 |  0.0065616729 |             f
    49 |     3940 |    100 |  0.0051516370 |             f
    50 |     4020 |    100 |  0.0054053378 |             f
    51 |     4100 |    100 |  0.0050073036 |             f
    52 |     4180 |    100 |  0.0078218481 |             f
    53 |     4260 |    100 |  0.0083552496 |             f
    54 |     4340 |    100 |  0.0038252714 |             f
    55 |     4420 |    100 |  0.0066023204 |             f
    56 |     4500 |    100 |  0.0049986886 |             f
    57 |     4580 |    100 |  0.0040950724 |             f
    58 |     4660 |    100 |  0.0177218707 |         nadir
    59 |     4740 |    100 |  0.0047966887 |             f
    60 |     4820 |    100 |  0.0060347410 |             f
    61 |     4900 |    100 |  0.0063283342 |             f
    62 |     4980 |    100 |  0.0087865635 |             f
    63 |     5060 |    100 |  0.0057577730 |             f
    64 |     5140 |    100 |  0.0052828379 |             f
    65 |     5220 |    100 |  0.0079757103 |             f
    66 |     5300 |    100 |  0.0165768395 |         nadir
    67 |     5380 |    100 |  0.0090723002 |             f
    68 |     5460 |    100 |  0.0070487204 |             f
    69 |     5540 |    100 |  0.0062136254 |             f
    70 |     5620 |    100 |  0.0049517935 |             f
    71 |     5700 |    100 |  0.0028612321 |             f
    72 |     5780 |    100 |  0.0046298783 |             f
    73 |     5860 |    100 |  0.0065711525 |             f
    74 |     5940 |    100 |  0.0068476975 |             f
    75 |     6020 |    100 |  0.0060399730 |             f
    76 |     6100 |    100 |  0.0062605861 |             f
    77 |     6180 |    100 |  0.0043665719 |             f
    78 |     6260 |    100 |  0.0038176927 |             f
    79 |     6340 |    100 |  0.0057015557 |             f
    80 |     6420 |    100 |  0.0061253286 |             f
    81 |     6500 |    100 |  0.0051096768 |             f
    82 |     6580 |    100 |  0.0079612232 |             f
    83 |     6660 |    100 |  0.0033786995 |             f
    84 |     6740 |    100 |  0.0054632391 |             f
    85 |     6820 |    100 |  0.0074001130 |             f
    86 |     6900 |    100 |  0.0045518318 |             f
    87 |     6980 |    100 |  0.0036310763 |             f
    88 |     7060 |    100 |  0.0051532057 |             f
    89 |     7140 |    100 |  0.0057039268 |             f
    90 |     7220 |    100 |  0.0036630983 |             f
    91 |     7300 |    100 |  0.0018435589 |             f
    92 |     7380 |    100 |  0.0091959002 |             f
    93 |     7460 |    100 |  0.0033927326 |             f
    94 |     7540 |    100 |  0.0063862363 |             f
    95 |     7620 |    100 |  0.0022516961 |             f
    96 |     7700 |    100 |  0.0071185075 |             f
    97 |     7780 |    100 |  0.0063359094 |             f
    98 |     7860 |    100 |  0.0023307643 |             f
    99 |     7940 |    100 |  0.0056807000 |             f
   100 |     8020 |    100 |  0.0033555672 |             f
   101 |     8100 |    100 |  0.0041804507 |             f
   102 |     8180 |    100 |  0.0041172630 |             f
   103 |     8260 |    100 |  0.0044518934 |             f
   104 |     8340 |    100 |  0.0039174371 |             f
   105 |     8420 |    100 |  0.0174353648 |         nadir
   106 |     8500 |    100 |  0.0038605177 |             f
   107 |     8580 |    100 |  0.0053665094 |             f
   108 |     8660 |    100 |  0.0174973971 |         nadir
   109 |     8740 |    100 |  0.0048231088 |             f
   110 |     8820 |    100 |  0.0052753742 |             f
   111 |     8900 |    100 |  0.0057577509 |             f
   112 |     8980 |    100 |  0.0052844048 |             f
   113 |     9060 |    100 |  0.0052212308 |             f
   114 |     9140 |    100 |  0.0051800711 |             f
   115 |     9220 |    100 |  0.0026158874 |             f
   116 |     9300 |    100 |  0.0052632537 |         ideal
   117 |     9380 |    100 |  0.0034619207 |             f
   118 |     9460 |    100 |  0.0051379079 |             f
   119 |     9540 |    100 |  0.0047490244 |             f
   120 |     9620 |    100 |  0.0054653124 |             f
   121 |     9700 |    100 |  0.0052787989 |             f
   122 |     9780 |    100 |  0.0033722798 |             f
   123 |     9860 |    100 |  0.0038472327 |             f
   124 |     9940 |    100 |  0.0062410065 |             f
   125 |    10020 |    100 |  0.0049435235 |             f
   126 |    10100 |    100 |  0.0042668381 |             f
   127 |    10180 |    100 |  0.0081291078 |             f
   128 |    10260 |    100 |  0.0041318907 |             f
   129 |    10340 |    100 |  0.0017238984 |             f
   130 |    10420 |    100 |  0.0074248440 |             f
   131 |    10500 |    100 |  0.0052955707 |             f
   132 |    10580 |    100 |  0.0063411417 |             f
   133 |    10660 |    100 |  0.0042317733 |             f
   134 |    10740 |    100 |  0.0046433115 |             f
