Processing mobilenet
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      100 |     16 |  0.000000E+00 |  0.0116833129 |             - |             -
     2 |      180 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0107631551 |             f
     3 |      260 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0083726743 |             f
     4 |      340 |     45 |  0.000000E+00 |  0.000000E+00 |  0.1878970794 |         ideal
     5 |      420 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0071052492 |             f
     6 |      500 |     78 |  0.000000E+00 |  0.000000E+00 |  0.1354571622 |         ideal
     7 |      580 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015486408 |             f
     8 |      660 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0037025213 |             f
     9 |      740 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0022951529 |             f
    10 |      820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0033336519 |         ideal
    11 |      900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0025445978 |             f
    12 |      980 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008249532 |             f
    13 |     1060 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013814936 |             f
    14 |     1140 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0027755077 |             f
    15 |     1220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004804169 |             f
    16 |     1300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0264454837 |         ideal
    17 |     1380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004974900 |             f
    18 |     1460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008999337 |             f
    19 |     1540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0023530034 |             f
    20 |     1620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0027393801 |             f
    21 |     1700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0067859361 |         ideal
    22 |     1780 |     95 |  0.000000E+00 |  0.000000E+00 |  0.0037672751 |             f
    23 |     1860 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0053535508 |             f
    24 |     1940 |     69 |  0.000000E+00 |  0.000000E+00 |  0.0003619105 |             f
    25 |     2020 |     75 |  0.000000E+00 |  0.000000E+00 |  0.0035292429 |             f
    26 |     2100 |     91 |  0.000000E+00 |  0.000000E+00 |  0.0088197380 |         nadir
    27 |     2180 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008379272 |             f
    28 |     2260 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0047258694 |         ideal
    29 |     2340 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0002323987 |             f
    30 |     2420 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0006897610 |             f
    31 |     2500 |     98 |  0.000000E+00 |  0.000000E+00 |  0.0028903008 |             f
    32 |     2580 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0065382373 |         nadir
    33 |     2660 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015835111 |             f
    34 |     2740 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0019743092 |             f
    35 |     2820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0035403504 |             f
    36 |     2900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0032927836 |         ideal
    37 |     2980 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0009216446 |             f
    38 |     3060 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0039113482 |         nadir
    39 |     3140 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004191578 |             f
    40 |     3220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0017547850 |             f
    41 |     3300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0034857253 |             f
    42 |     3380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004785506 |             f
    43 |     3460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0008755445 |             f
    44 |     3540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0011868000 |             f
    45 |     3620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013614225 |             f
    46 |     3700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0019036252 |             f
    47 |     3780 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0022110386 |             f
    48 |     3860 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0025740438 |             f
    49 |     3940 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004463808 |             f
    50 |     4020 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0007208163 |             f
    51 |     4100 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0010828674 |             f
    52 |     4180 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013950934 |             f
